material_id,cif_file,formula,formation_energy_per_atom,energy_above_hull,band_gap,density,volume,target
mp-1195193,mp-1195193.cif,Ag12Sn7H16(Se11N2)2,-0.48019928584528504,0.0,0.22229999999999903,4.886247051612521,2674.3061881161643,-0.48019928584528504
mp-1183190,mp-1183190.cif,AcZn2In,-0.41620914276042204,0.024936667083331,0.0,7.98102616993869,98.33704658652768,-0.41620914276042204
mp-864809,mp-864809.cif,AcZn3,-0.270352051875001,0.027823433906249,0.0,7.642317287809214,183.91933783251287,-0.270352051875001
mp-10597,mp-10597.cif,Ag,0.007668675000001001,0.007668675000001001,0.0,10.302466709886353,34.77213082803506,0.007668675000001001
mp-124,mp-124.cif,Ag,0.0021267149999990003,0.0021267149999990003,0.0,10.362566636379526,17.28523120082949,0.0021267149999990003
mp-2646971,mp-2646971.cif,Ag,0.034337163333333004,0.034337163333333004,0.0,9.86674239833866,18.153849863758662,0.034337163333333004
mp-8566,mp-8566.cif,Ag,0.0,0.0,0.0,10.315417515494216,69.45695019121693,0.0
mp-989737,mp-989737.cif,Ag,0.010381675000004,0.010381675000001,0.0,9.922633184978451,54.15478637716398,0.010381675000004
mp-18125,mp-18125.cif,Ag(AuF4)2,-1.201867790454545,0.0,0.258499999999999,6.941567477313422,312.7943233865305,-1.201867790454545
mp-35835,mp-35835.cif,Ag(AuS)2,-0.060644610677087006,0.05118917866666801,0.0,8.073054023127192,232.81179416614023,-0.060644610677087006
mp-567334,mp-567334.cif,Ag(BCl)6,-0.736950766538461,0.0,2.7028,2.666185535806875,1920.521817588254,-0.736950766538461
mp-558796,mp-558796.cif,Ag(Bi2S3)3,-0.359322325279947,0.029379677083333004,0.0,6.530571606068036,419.63351787681177,-0.359322325279947
mp-777775,mp-777775.cif,Ag(H7O4)2,-1.137662682137681,0.069520204456523,0.0,2.060844318277737,805.6746816917087,-1.137662682137681
mp-686119,mp-686119.cif,Ag13(BiI4)14,-0.6267792782128511,0.036828248734940006,0.0,5.292591917665477,3587.6002010414095,-0.6267792782128511
mp-676840,mp-676840.cif,Ag13(PbO3)6,-0.823027415585585,0.007080113918918001,0.0,8.019274249177183,1214.8608503632336,-0.823027415585585
mp-1247866,mp-1247866.cif,Ag2B8O13,-2.503243793550724,0.007411922173912001,2.9324,3.27284456333392,1035.4718414916476,-2.503243793550724
